video,status,start_time,end_time,elapsed_seconds,output_dir,error
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040.mp4,failed,2026-08-22 13:51:38,2026-08-22 13:58:59,440.75,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040,Pipeline finished but expected output files are missing
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-24/20260724_015035_tp00046.mp4,failed,2026-08-22 13:58:59,2026-08-22 14:05:27,388.07,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-24/20260724_015035_tp00046,Pipeline finished but expected output files are missing
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 3 - EB Backup/2026-07-21/20260721_214547_tp00037.mp4,completed,2026-08-22 14:05:27,2026-08-22 14:11:21,353.7,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 3 - EB Backup/2026-07-21/20260721_214547_tp00037,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 3 - EB Backup/2026-07-22/20260722_042719_tp00043.mp4,completed,2026-08-22 14:11:21,2026-08-22 14:16:52,330.82,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 3 - EB Backup/2026-07-22/20260722_042719_tp00043,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 4 - WB Backup/2026-07-21/20260721_185428_tp00032.mp4,completed,2026-08-22 14:16:52,2026-08-22 14:23:15,382.81,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 4 - WB Backup/2026-07-21/20260721_185428_tp00032,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 4 - WB Backup/2026-07-22/20260722_053437_tp00043.mp4,completed,2026-08-22 14:23:15,2026-08-22 14:29:00,345.61,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 11 - OC7/Cam 4 - WB Backup/2026-07-22/20260722_053437_tp00043,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 3 - Haliyal Road/Cam 2 - Backup/2026-07-21/20260721_085356_tp00024.mp4,completed,2026-08-22 14:29:00,2026-08-22 14:35:54,413.25,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 3 - Haliyal Road/Cam 2 - Backup/2026-07-21/20260721_085356_tp00024,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 3 - Haliyal Road/Cam 2 - Backup/2026-07-22/20260722_011006_tp00051.mp4,failed,2026-08-22 14:35:54,2026-08-22 14:41:59,365.18,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 3 - Haliyal Road/Cam 2 - Backup/2026-07-22/20260722_011006_tp00051,Pipeline finished but expected output files are missing
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 4 - Kalaghadgi Road/Cam 2 - Backup/2026-07-21/20260721_231816_tp00048.mp4,completed,2026-08-22 14:41:59,2026-08-22 14:48:24,384.86,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 4 - Kalaghadgi Road/Cam 2 - Backup/2026-07-21/20260721_231816_tp00048,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 4 - Kalaghadgi Road/Cam 2 - Backup/2026-07-22/20260722_055421_tp00052.mp4,completed,2026-08-22 14:48:24,2026-08-22 14:55:17,413.22,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 4 - Kalaghadgi Road/Cam 2 - Backup/2026-07-22/20260722_055421_tp00052,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 5 - Anchatgeri Road/Cam 2/2026-07-24/20260724_122455_tp00067.mp4,completed,2026-08-22 14:55:17,2026-08-22 15:02:26,429.15,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 5 - Anchatgeri Road/Cam 2/2026-07-24/20260724_122455_tp00067,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 5 - Anchatgeri Road/Cam 2/2026-07-25/20260725_054349_tp00094.mp4,completed,2026-08-22 15:02:26,2026-08-22 15:08:44,377.74,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 5 - Anchatgeri Road/Cam 2/2026-07-25/20260725_054349_tp00094,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 3 - NB Backup/2026-07-25/20260725_052719_tp00155.mp4,failed,2026-08-22 15:08:44,2026-08-22 15:15:14,390.55,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 3 - NB Backup/2026-07-25/20260725_052719_tp00155,Pipeline finished but expected output files are missing
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 3 - NB Backup/2026-07-26/20260726_013708_tp00183.mp4,completed,2026-08-22 15:15:14,2026-08-22 15:22:41,446.53,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 3 - NB Backup/2026-07-26/20260726_013708_tp00183,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 4 - SB Backup/2026-07-25/20260725_153927_tp00134.mp4,completed,2026-08-22 15:22:41,2026-08-22 15:29:51,429.79,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 4 - SB Backup/2026-07-25/20260725_153927_tp00134,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 4 - SB Backup/2026-07-26/20260726_032234_tp00154.mp4,completed,2026-08-22 15:29:51,2026-08-22 15:36:27,396.93,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 6 - NH-48/Cam 4 - SB Backup/2026-07-26/20260726_032234_tp00154,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 7 - Gadag Road/Cam 3 - Backup/2026-07-22/20260722_082004_tp00014.mp4,completed,2026-08-22 15:36:27,2026-08-22 15:42:31,363.17,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 7 - Gadag Road/Cam 3 - Backup/2026-07-22/20260722_082004_tp00014,
